MoisturePercent,Organic,CategoryTypeEn,MilkTypeEn,MilkTreatmentTypeEn,RindTypeEn,FatLevel
0.537494625,0,4,1,0,2,1.0
0.42499575,0,3,1,0,2,0.0
0.52499475,0,4,1,0,2,0.0
0.4499955,0,3,1,0,2,1.0
0.12499875000000002,0,2,1,0,2,0.0
0.43836745480301553,1,0,4,0,2,1.0
0.32499675000000006,1,0,1,2,2,0.0
0.32499675000000006,1,0,1,1,2,0.0
0.43836745480301553,0,0,1,0,2,1.0
0.5499945,0,1,1,0,2,1.0
0.537494625,0,3,2,0,2,1.0
0.17499825,0,0,5,0,2,0.0
0.099999,0,2,1,0,2,1.0
0.99999,0,1,1,0,2,1.0
0.49999499999999997,0,3,1,0,2,1.0
0.41249587499999996,0,0,1,0,2,1.0
0.77499225,0,1,1,0,2,1.0
0.599994,0,4,7,0,2,1.0
0.537494625,1,1,1,2,2,1.0
0.23749762500000002,0,2,1,0,2,0.0
0.49999499999999997,0,3,1,0,2,1.0
0.41249587499999996,0,0,1,0,2,1.0
0.62499375,0,1,1,0,2,1.0
0.41249587499999996,0,3,1,0,2,1.0
0.49999499999999997,0,1,1,0,2,1.0
0.72499275,0,1,7,0,2,1.0
0.34999650000000004,0,3,1,0,2,0.0
0.34999650000000004,0,3,1,0,2,1.0
0.34999650000000004,0,3,7,0,3,0.0
0.47499525,0,3,1,0,2,1.0
0.49999499999999997,0,3,1,0,2,1.0
0.187498125,0,4,1,0,2,0.0
0.362496375,0,0,1,0,2,0.0
0.49999499999999997,0,4,1,0,2,1.0
0.41249587499999996,1,0,1,0,2,1.0
0.337496625,0,0,1,0,2,1.0
0.562494375,0,3,1,0,2,1.0
0.62499375,0,4,1,0,2,1.0
0.43836745480301553,0,3,1,0,2,1.0
0.37499625000000003,0,0,1,0,2,1.0
0.49999499999999997,0,3,1,0,2,1.0
0.27499724999999997,0,2,1,0,2,1.0
0.32499675000000006,0,1,2,0,2,1.0
0.8499915,0,1,4,0,2,1.0
